slug,title,topic,difficulty,audience,status,notes
pseudo-isomorphic-substrings,Pseudo-Isomorphic Substrings,strings,H,advanced,planned,catalog tier Expert
save-humanity,Save Humanity,strings,H,advanced,planned,catalog tier Expert; spreadsheet history: partially solved in past
similar-strings,Similar Strings,strings,H,advanced,planned,catalog tier Advanced
string-function-calculation,String Function Calculation,strings,H,advanced,planned,catalog tier Advanced
string-similarity,String Similarity,strings,H,advanced,planned,catalog tier Expert
super-functional-strings,Super Functional Strings,strings,H,advanced,planned,catalog tier Advanced
two-strings-game,Two Strings Game,strings,H,advanced,planned,catalog tier Expert
two-two,Two Two,strings,H,advanced,planned,catalog tier Advanced
bear-and-steady-gene,Bear and Steady Gene,strings,M,general,planned,
common-child,Common Child,strings,M,general,planned,
richie-rich,Highest Value Palindrome,strings,M,general,planned,
maximum-palindromes,Maximum Palindromes,strings,M,general,planned,
sherlock-and-anagrams,Sherlock and Anagrams,strings,M,general,planned,
sherlock-and-valid-string,Sherlock and the Valid String,strings,M,general,planned,
signal-tower,Signal Tower,unknown,M,advanced,planned,title from past-contest record; task needs organizer confirmation; not in the current catalog index
birthday-cake-candles,Birthday Cake Candles,warmup,E,general,authored,
compare-the-triplets,Compare the Triplets,warmup,E,general,authored,
diagonal-difference,Diagonal Difference,warmup,E,general,authored,
plus-minus,Plus Minus,warmup,E,general,authored,
staircase,Staircase,warmup,E,general,authored,
time-conversion,Time Conversion,warmup,E,general,authored,
